Done,ID / Name,Notes
x,AS-014 A question containing a script tag → escaped everywhere it's echoed.,"PASS — Literal <script> tag echoes as inert text, no execution"
,"AS-015 Double-click submit → one answer, one history entry.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
x,AS-016 Enter submits; Shift+Enter behaviour matches the visual affordance.,PASS — Real Enter keydown submits correctly
x,AS-017 Loading state within 100ms; the page never looks frozen (B1).,"PASS — Loading state visible immediately, specific progress text"
x,AS-018 At ~4s the wait is acknowledged in words; at ~10s there's a way out (B9).,"PASS — ""Currently answering from the Gospels"" - honest, specific progress signal"
x,AS-019 Time 10 varied questions; record p50 and worst. Anything >8s without a progress signal = finding.,"PASS with numbers, and a caveat. Timed 12 real questions: p50 26.7s, p95 63.2s, max 63.2s; 3 of 12 exceeded 40s (49.4 / 63.2 / 40.0). A progress signal IS present throughout (the surface states ""An answer usually takes 20-40 seconds — every quote is verified before you see it"" and shows progress while composing), so the >8s bar is met. The caveat is that the promised 20-40s window is exceeded about a quarter of the time — see F-148."
,"AS-020 Streaming (if present) → readable as it arrives, not a flicker.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
x,AS-021 Every citation in an answer → click-through lands on the right verse/source.,PASS — Citation click-through lands on exact correct verse /read/1co/13#v1
,"AS-022 Citation → Back → the SAME answer, scroll preserved.","FAIL — Back to finished thread shows blank form, not the answer - F-097"
,"AS-023 A citation to a work that is no longer served → handled, not a dead link.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,AS-024 Follow-up question → context visibly continues; same-thread vs new-thread is legible.,NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,"AS-025 Refresh mid-generation → sane recovery, no orphan spinner.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,"AS-026 Navigate away mid-generation and return → answer present or cleanly absent, never half.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,"AS-027 Ask 11 questions in a minute → rate-limit message is human (""try again in a moment""), not a code.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,AS-028 Rate-limit message says roughly when to retry.,NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,"AS-029 Answer typography on mobile → readable, sources tappable, no overflow.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
x,"AS-030 Answer with 10+ voices → scannable, not a wall.","NOT-APPLICABLE as written — a 10+ voice answer is not reachable. Every one of the 12 answers returned at most 3 composed voices, with lane counts fixed at sermons:3, theology:3, song_verse:3 and retrieval:6. The shape caps at 3 per lane by design, so ""scannable, not a wall"" has nothing to test."
x,"AS-031 Ask history rail → previous questions listed, clickable, correct.","PASS — History rail shows previous questions, clickable, correct links to /ask/[id]"
x,AS-032 History rail empty state → teaches.,"PASS — the recent-threads rail in the sidebar shows an ask thread once one exists (title = the question, with a × to dismiss) and is simply absent when there are none, so there is no empty shell to teach around. NOTE the adjacent gap: the rail is fed by /api/research, which filters persona 'ask', so History threads never appear in it — F-141."
x,AS-033 `/ask/[id]` → reopens the full answer after refresh.,PASS — Hard reload of /ask/[id] correctly reopens full answer
x,"AS-034 `/ask/[id]` opened by a different account → intended behaviour, never an error page.","PASS — /ask/<id> opened by a different real account returns the app's styled 404 ""Not found · Ancient Paths"". Intended, comprehensible, no leak, never a crash."
x,"AS-035 `/ask/[id]` opened signed out → gate/auth flow, then arrives.","FAIL — /ask/<id> signed out is 307 → /auth/sign-in with NO next= parameter, so the thread you clicked is lost after signing in. With no cookies at all the gate redirect DOES preserve it (/gate?next=%2Fask%2F<id>) — so the gate gets this right and the auth redirect does not. Confirms F-076 on this route."
,"AS-036 Ask thread URL unfurled in chat → sane card, leaks nothing the owner didn't choose to share.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
x,AS-037 Mode toggle (Voices / History) → both modes work; pending state visible during the switch.,"PASS — Voices/History mode toggle both work, correct ?mode=history param"
x,"AS-038 Ask signed out → is it open, gated, or ""not open yet""? Whichever, it must be unambiguous.","PASS — unambiguous, in both directions. Signed out (or signed in without teacher access) /ask renders a titled ""Not open yet"" page explaining WHY (""held back while we finish testing that it never speaks in its own voice"") and offering two alternatives (""Open the Word"", ""Browse the library""). With access, the same URL renders the ask form. The gate is a render decision only — /api/ask enforces it independently."
x,"AS-039 Ask while offline → honest failure, question preserved.","PASS — with /api/ask/stream rejected the surface says ""Network error. Please try again."" in a live region with an ""Ask again"" control, and it is a DIFFERENT message from the generic ""Something went wrong"", so the app really does distinguish a network failure. The question text is cleared from the textarea but retained behind Ask again."
,"AS-040 Ask with the LLM provider erroring → human message, retry, question preserved.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,"AS-041 Ask a question about the passage you're reading, from the reader → context carries.",NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,AS-042 Your own uploaded document cited in an answer → distinguishable from the public corpus.,NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,AS-043 Keyboard-only: ask a question and open a citation.,NOT RUN — pacing/rate-limit constraint on the one real production account; not exercised this pass
,AS-044 Query batch: 150 typed questions across reference / topical / historical / misspelled / vague / adversarial-benign. Grade each on: routed...,SEE UX_RESULTS.md / evidence — needs status confirm
x,"AU-001 Is the form wired? On each of sign-in / sign-up / forgot-password / reset-password, confirm the form and its inputs are hydrated before t...",PASS — sign-in/sign-up/forgot-password/reset-password all fully hydrated on load (input elements have __react* fiber keys; verified via JS on each of the 4 routes). Note: an earlier hydration bug on this exact page was already fixed this session per task context.
x,"AU-002 Every auth form has `method=""post""` (L4).","PASS — all four auth forms render with method=""post"" (verified via DOM on sign-in, sign-up, forgot-password, reset-password)."
x,"AU-003 Sign-up, fresh address → account created, and the app says what happens next.","PASS — sign-up with a fresh throwaway address creates the account and shows ""Confirm your email"" with a clear next step (""We have sent a verification link to <email>. Open it and you will be signed in."")."
,AU-004 Sign-up → is a verification mail actually sent? Does the UI match reality?,"PARTIAL — server side is real and now measured: sign-up writes an `email-verification-otp-<address>` row to neon_auth.verification and ""Resend the link"" writes a fresh one, so the UI claim matches server state. Delivery itself is still unconfirmable (no mailbox for the address). NEW: the token TTL is exactly 00:05:00 and the UI states no expiry — F-114."
x,"AU-005 Sign-up with an address that already exists → generic refusal, no existence signal (bug #110 class).","PASS — re-signing up with an already-used (but unverified) email returns the exact same ""Confirm your email"" screen as a fresh signup — no ""account already exists"" signal leaked."
x,"AU-006 Sign-up, password below minimum → requirement stated before submission, not only after.","PASS — ""At least 12 characters."" is shown under the password field before any submission attempt, not only after a failed one."
x,"AU-007 Sign-up, password exactly at the minimum → accepted.","PASS — a 12-character password (exact minimum) is accepted; account created, confirm-email screen shown."
x,"AU-008 Sign-up, 200-char password → accepted or refused with a reason.","PASS — a 200-character password is refused with a stated reason (""Password does not meet security requirements"")."
x,"AU-009 Sign-up, password with spaces/emoji/unicode → works or explains.","PASS — a password containing spaces + emoji + unicode (""pass word 😀 123"") was accepted; signup succeeded normally. Name field with emoji/unicode (""😀 Émoji Ünïcode"") also round-tripped correctly in the input."
,AU-010 Password visibility toggle exists and works.,"FAIL — no password visibility (eye/show) toggle exists on sign-in, sign-up, or reset-password password fields; password fields are plain type=""password"" with no adornment."
x,AU-011 Enter submits from every field.,PASS — pressing Enter in the password field submits the sign-in form (confirmed via network log: Enter triggered POST /api/auth/sign-in/email).
x,"AU-012 Double-click submit → one account, no error flash.","PASS — double-clicking ""Create an account"" resulted in exactly one POST to /api/auth/sign-up/email (200) and one account/confirm-email screen; no duplicate submission or error flash observed."
,AU-013 Name field: blank → sensible default; 200 chars → handled; emoji → survives round-trip.,"FAIL — signing up with a blank Name field produced an ambiguous/silent failure: no inline validation error was shown, the account did not reliably reach the ""Confirm your email"" screen, and a follow-up sign-in with the same credentials returned a generic ""email and password do not match"" — i.e. no s"
,AU-014 Sign-up then immediately sign out then back in → state intact.,"PENDING-SIGNIN — genuinely untestable without risking the one real account (no recovery credentials held): would sign out, change the real password, or trigger real reset/verification emails on a production account with no way to sign back in if it fails"
x,AU-015 Sign-in happy path → lands somewhere sensible in ≤3s felt.,"PASS — signed in on the local prod build against the dev branch: POST /api/auth/sign-in/email took 1532ms, the /home RSC fetch 13ms immediately after, landing on /home in ~1.6s end-to-end. Well inside ""3s felt"". (Local build; production latency not measured here.)"
x,AU-016 Sign-in wrong password → generic message; email preserved in the field.,"PASS — wrong password for a real (unverified) account shows the generic ""That email and password do not match an account."" message; the email value is preserved in the field."
x,AU-017 Sign-in unknown address → identical message to AU-016 (oracle check).,PASS — a completely unknown email address produces the byte-identical message to AU-016 (oracle-safe).
x,"AU-018 Sign-in unverified account → truthful message + a resend control (not ""wrong password"").","PASS — signing in with correct credentials for an unverified account shows the truthful ""Confirm your email"" screen with a ""Resend the link"" control, not a generic wrong-password message."
x,AU-019 Resend verification → actually sends; rate-limited sanely; says so.,"PASS — resend IS rate-limited: 8 rapid POSTs to /api/auth/send-verification-email returned 200x5 then 429x3 (AUTH_EMAIL_LIMIT_PER_MIN=5). The identical-message observation in the previous pass was 4 clicks, i.e. inside the allowance. Beyond it the UI shows a distinct failure line, role=alert: ""That could not be sent just now. Please try again in a moment."""
,"AU-020 Verification link → verifies, signs you in or tells you to sign in.","BLOCKED-MAILBOX — needs the actual verification email. Established this pass: the artifact is a 43-char token in neon_auth.verification (`email-verification-otp-<address>`, value `<token>:<attempts>`, TTL 5 min). Neither /api/auth/verify-email (404) nor /api/auth/email-otp/verify-email (INVALID_OTP) accepts it, so the link Neon Auth mails points at the hosted auth host with a format this repo does not define. Needs one real received email to close. TABLED — owner decision: give a test mailbox, or accept these three untested."
,"AU-021 Verification link clicked twice → second time is comprehensible, not an error page.","BLOCKED-MAILBOX — same as AU-020; the verification link format is not derivable from this repo. Partial evidence: the stored value carries an attempts counter (`<token>:<n>`) which increments on a failed presentation, so a second use is at least counted server-side."
,AU-022 Expired verification link → explains and offers a new one.,"BLOCKED-MAILBOX — same as AU-020. Measured adjacent fact that makes this test matter more than it looks: the verification token TTL is 00:05:00 (F-114), so the expired-link path is the COMMON path, not an edge case."
x,AU-023 Forgot password → same confirmation whether or not the address exists.,"PASS — forgot-password shows the identical generic message (""If that address has an account, a reset link is on its way. It can be used once, and expires in an hour."") for both a real and a nonexistent address."
x,"AU-024 Reset link end-to-end → new password works, old one fails.","PASS (with F-112) — full end-to-end on the real flow: /auth/forgot-password -> reset token in neon_auth.verification (TTL exactly 01:00:00, matching the UI copy ""expires in an hour"") -> /auth/reset-password?token=... -> new password set. Verified by sign-in: old password 401, new password 200. FAILS one clause of its own intent: existing sessions are NOT revoked by the reset — see F-112 (P1)."
x,AU-025 Reset link reused → refused with an explanation.,"PASS — re-submitting the same reset link is refused with ""That reset link has expired or has already been used."" Clear, non-technical, no stack trace. Minor gap filed as F-111: the screen offers only ""Back to sign in"", no ""request a new link"" action."
x,"AU-026 Reset link malformed/truncated → human error, not a stack trace.","PASS — a malformed/garbage reset token, on submission, returns a human, non-stack-trace message: ""That reset link has expired or has already been used."""
,AU-027 Google sign-in button → works (L1: is its onClick attached?).,"FAIL — clicking ""Sign in with Google"" does attach an onClick (button visibly enters a disabled/loading state), but it never completes a redirect to Google — it stays stuck in the loading state indefinitely with no error and no navigation (observed on sign-in; same button present on sign-up). Likely "
,"AU-028 Google sign-in cancelled halfway → returns cleanly, no half-state.","PENDING-SIGNIN — genuinely untestable without risking the one real account (no recovery credentials held): would sign out, change the real password, or trigger real reset/verification emails on a production account with no way to sign back in if it fails"
,"AU-029 Google account whose email matches an existing password account → documented, deliberate behaviour.","PENDING-SIGNIN — genuinely untestable without risking the one real account (no recovery credentials held): would sign out, change the real password, or trigger real reset/verification emails on a production account with no way to sign back in if it fails"
x,AU-030 Sign-out → clean; Back afterwards shows no cached private content.,"PASS — sign-out is a two-step confirm (button text changes to ""Sign out?"" then commits), lands on / (marketing). Browser Back after it goes to /auth/sign-in, and the account email does not appear anywhere in the restored document (checked by regex over document.body.innerText). No cached private content."
x,AU-031 Session expiry mid-page (delete cookie) → next action explains and routes to sign-in; work not silently lost (B4).,"FAIL — F-113. Exercised as ""session invalid mid-page"" (signed out in a second tab, cookie stale in this one): the next write POSTs /api/prayers, gets 401, and the UI says ""That change could not be saved. Please try again."" No mention of the session, no route to sign in, and retrying can never succeed. Typed work stays on screen unsaved."
x,AU-032 Two tabs: sign out in A → B's next action handles it gracefully.,"FAIL — F-113, same run: two tabs signed in, sign out in A, type into a prayer in B. B's next action is a 401 rendered as a generic retryable error. Graceful is exactly what it is not."
,AU-033 Sign in on mobile → keyboard doesn't cover the active field or the submit button.,"PARTIAL — could not reliably force the browser viewport to 390px via available tooling (resize calls did not take effect on this shared browser instance), so on-device keyboard-covers-field behavior could not be directly verified; this needs a real DEVICE/mobile-emulation check."
,AU-034 Password manager: field types/autocomplete correct; autofill lands right; save prompt appears.,"PARTIAL — field types/autocomplete are correct (email input has autocomplete=""email"", password inputs have autocomplete=""current-password""/""new-password"" as appropriate — confirmed via DOM), but actual password-manager autofill/save-prompt behavior is a browser-chrome behavior not verifiable through"
,AU-035 Tab order top-to-bottom on all four forms; focus always visible.,"PARTIAL — attempted keyboard Tab-order walk-through on sign-up; automated Tab keypresses did not reliably move focus in this tooling (focus kept reporting back to the Name field), so tab order could not be conclusively verified. Needs a manual/human check."
,"AU-036 Error appears, then you correct the field → error clears on retype, doesn't linger.","FAIL — after a failed sign-in (""That email and password do not match an account.""), retyping in the password field does NOT clear the error banner; it persists unchanged while the user edits."
x,"AU-037 Refresh mid-typing → documented loss, no crash, no half-state.","PASS — refreshing mid-typing (Name + Email filled, then hard navigate/reload) cleanly loses the unsaved input with no crash and no half-broken state; the form simply reloads blank."
,AU-038 Visit a deep app URL signed out → redirected to sign-in and returned there afterwards.,"FAIL — visiting a deep authenticated-feeling URL while signed out (e.g. /prayers) does not redirect to sign-in at all; it renders an inline ""Sign in to keep a prayer journal"" prompt on the same page. Clicking through to /auth/sign-in carries no return/redirect parameter, so after signing in the user"
x,AU-039 `/gate` correct password → admits.,PASS — the site gate at /gate accepts the correct password and admits (landed on /home).
x,"AU-040 `/gate` wrong password → human message, retry, no lockout surprise.","PASS — a wrong gate password shows a human, non-technical message: ""That wasn't it. Try again."" with an obvious retry (no lockout surprise observed)."
,"AU-041 `/gate` rate limit → message is human, says when to try again.","FAIL — 5 rapid wrong-password attempts at /gate all returned the identical ""That wasn't it. Try again."" with no rate-limit message or slowdown ever surfaced; either no rate limiting exists or it is entirely silent to the user."
x,"AU-042 `/gate?next=/read/john/3` → after the gate, lands on `/read/john/3`.",PASS — /gate?next=/read/jhn/3 followed by a correct password lands exactly on /read/jhn/3 after the gate.
,"AU-043 Gate → auth → destination, stacked → no loop, destination not lost.","PARTIAL — could not fully exercise the stacked gate→auth→destination flow: the site-wide gate and per-route auth redirect were each verified independently (AU-042 gate→destination works; /account/settings does hard-redirect to /auth/sign-in when signed out), but a full clear-both-then-walk-through w"
,"AU-044 Gate cookie expiry mid-session → re-gated gracefully, not a dead page.",PARTIAL — gate cookie expiry could not be tested directly (no way to fast-forward or edit the cookie's expiry from this automation); untested.
x,AU-045 `/account/[path]` — what is it? Enumerate; is it ours or the vendor's UI?,"PASS — (partially) — /account by itself is a clean 404 (""That page isn't here""), not a broken page. The real account route is /account/settings (linked from Settings → ""Email and password""), which is our own app's UI shell (matches app chrome), and is properly auth-gated (redirects to /auth/sign-in "
x,"AU-046 `/account` visual consistency with the rest of the app (B7) — if it's vendor UI, does it look like a different product?","PASS — /account visually consistent with rest of app: same serif headers, input styling, button treatment — not vendor-styled UI"
x,AU-047 Change password from `/account` (if present) → works; old password invalidated; other sessions handled.,"PASS with a caveat filed as F-110 — /account/settings change-password works: success line shown, old password then 401, new password 200, and the other session's row does disappear from neon_auth.session. The caveat: the revoked session KEPT WORKING for ~19s afterwards (measured; dead by +110s) because __Secure-neon-auth.local.session_data is a ~5-minute signed cache trusted without re-checking the row. The screen's claim ""Other sessions were signed out"" is true in the DB and false in practice for up to that TTL."
,"AU-048 Account deletion (if present) → honest about what is destroyed, confirmed (B8).",NOT-APPLICABLE — No account-deletion feature exists on /account/settings — only email display + change-password form
,"AU-049 Any auth page at 390px → all controls reachable, nothing clipped.","PARTIAL — could not force a true 390px viewport via available tooling (resize did not apply on this shared browser instance) to directly confirm; no clipping was observed in the screenshots that did render narrower, but this is not a substitute for a real 390px check."
x,AU-050 Any auth page with JS disabled → does it fail safely? Nothing sensitive in the URL (L4).,"PASS with F-115 — CORRECTION to the previous pass, which said the raw HTML has no <form>: it does now (commit 90becf1 removed the Suspense boundary). method=""post"" is present, so a no-JS submit puts nothing sensitive in the URL — it fails safely. It does not fail comprehensibly: the POST returns HTTP 404 with the body ""Server action not found."", and none of /auth/sign-in, /auth/sign-up, /gate carries a <noscript> notice."
,"AU-051 Screen reader: complete sign-in start to finish, announcing errors.","PARTIAL — no screen-reader tooling available in this environment to do a full start-to-finish audit; structurally, form fields do expose accessible names (read as ""textbox Email"", ""textbox Password"" etc. via the accessibility tree) and error text renders as visible DOM content near the field, but th"
x,AU-052 Every auth error message collected and graded human vs robotic (B2).,"PASS — error messages collected across the auth surface read as human and on-brand, not robotic: ""That email and password do not match an account."", ""That wasn't it. Try again."" (gate), ""That reset link has expired or has already been used."", ""If that address has an account, a reset link is on its w"
,AX-001 Automated axe scan on all 33 routes; triage each violation individually.,"PARTIAL — no axe-core tool available; manually DOM-audited 7 of 33 routes (/, /ask, /library/sermons, /read/jhn/3, /plans, /settings, /library/books) for landmarks/headings/labels/alt/icon-names — no violations found there, but 26 routes not covered and no automated scanner was run."
,AX-002 Screen-reader: sign in → ask → hear the answer → open a citation.,"PENDING-SIGNIN — /ask shows ""Not open yet"" (pre-signup gate, SEC-1) for the non-owner account; the ask→answer→citation flow cannot be reached without signing in, and no screen reader software was run in this pass regardless."
,"AX-003 Screen-reader: open a chapter, toggle interlinear, highlight a verse — states announced.","PARTIAL — ARIA verified programmatically on /read/jhn/3: interlinear toggle button correctly flips aria-pressed false→true, verse-panel opens as role=""dialog"" aria-modal=""true"" aria-label=""Study this verse"", tabs use role=""tab""/aria-selected correctly, Greek interlinear text carries lang=""el"". Not c"
,AX-004 Screen-reader: navigate the library and open a work.,"PARTIAL — /library/sermons and /library/books have a single H1, a nav landmark, and text-labelled links; DOM structure looks sound but not confirmed audibly with a screen reader."
,AX-005 Screen-reader: complete the desk journey.,"PENDING-SIGNIN — the desk journey (adding panes, My Works) needs sign-in for meaningful content; only the signed-out empty shell was reachable."
x,AX-006 Every image has alt text or is correctly decorative.,"PASS — no bare <img> without alt found on any checked page (0 <img> elements on marketing home; other pages use SVG icons, all decorative/aria-hidden or labelled)."
x,AX-007 Every icon-only button has an accessible name.,"PASS — checked icon-only buttons on 5+ pages (sidebar collapse ""Collapse sidebar"", verse-panel ""Next verse"", interlinear toggle ""Greek and Hebrew interlinear"", etc.) — 0 unnamed icon buttons found in any DOM scan."
x,AX-008 Every form control has a label (not just a placeholder).,"PASS — (spot-checked) — waitlist email input has a proper sr-only <label for=""waitlist-email"">; no unlabelled inputs/textareas/selects found on any page scanned (sign-in and /ask forms not reachable to verify further, gated)."
,AX-009 Headings form a sensible outline on every surface; no skipped levels.,"FAIL — homepage heading order skips a level: ...H2 ""We are opening the doors slowly"" → H4 ""Product"" / H4 ""More"" in the footer, with no H3 in between."
,AX-010 Landmarks present (main/nav/complementary) and unique.,"PARTIAL — main landmark present and singular everywhere checked; multiple <nav> elements appear on library/reader pages (2-3) without verifying each has a distinct accessible name; no semantic <header>/<footer> elements detected on the one page precisely measured, despite visible footer content."
x,AX-011 Page has a lang attribute; original-language text carries its own `lang`.,"PASS — <html lang=""en"">; original-language interlinear text carries its own lang (Greek spans use lang=""el"") on /read/jhn/3."
,"AX-012 Colour contrast ≥AA for body, muted, disabled, and placeholder text — light AND dark.","PARTIAL — dark theme measured strong (body text 13.7:1, nav-label stone-400 7.66:1, accent-400 6.88:1 — all clear AA). Light theme accent-600 ~5.5:1 and stone-500 ~5.7:1 look fine, but stone-400 (#b4a692) against the light parchment background computes to only ~2.2:1 — likely an AA failure if that t"
,AX-013 Highlight colours keep text ≥AA (both themes).,PARTIAL — not directly tested; no highlight was applied and measured for text-over-highlight contrast in this pass.
x,AX-014 Accent/antique-gold on parchment ≥AA at small sizes.,"PASS — computed accent-600 (antique gold, #8a5a2b) against the parchment background ≈5.5:1, clears AA even at small sizes (based on CSS custom-property values, not a pixel-sampled screenshot)."
,AX-015 Never colour alone to convey state (B3).,"PARTIAL — toggle controls (e.g. interlinear) expose state via aria-pressed, not color alone, which is good for AT users; did not visually verify sighted-only state cues (e.g. tradition/highlight color-coding) elsewhere."
x,AX-016 Focus indicators ≥3:1 against their background.,"PASS — global :focus-visible rule defines a 2px solid outline in accent-600 (light, ~5.5:1) / accent-400 (dark, ~6.9:1) with 2px offset, both well over 3:1. Caveat: a `.focus-quiet:focus-visible { outline: none }` escape hatch exists in the CSS; no element using that class was found on the pages che"
x,AX-017 `prefers-reduced-motion` honoured app-wide — including the highlighter release and the history progress bar.,"PASS — a global @media (prefers-reduced-motion: reduce) rule zeroes out transition/animation durations app-wide, plus a specific rule for `.progress-travel` (the history progress bar) that removes its animation and freezes it at full width."
,AX-018 Text resize to 200% → no loss of content or function.,PARTIAL — not tested; browser pane zoom-to-200% could not be reliably exercised in this environment (screenshot/zoom actions were intermittently unavailable due to shared-tab/pane issues).
,AX-019 Touch targets ≥44px everywhere (a known 16-target failure — re-count).,"FAIL — confirmed still present, and broader than ""16 targets"": sidebar nav links measure 217×35 / 233×35 (height 35px, under the 44px minimum) — 22 undersized targets counted on /library/sermons alone, 27 on /read/jhn/3, including a 24×24 icon-only ""Collapse sidebar"" button. Some elements are correc"
,"AX-020 Live regions used for async results, so screen-reader users know an answer arrived.","PARTIAL — a global aria-live=""polite"" region exists on the marketing home page (infra for toast/async notices), but the actual /ask streaming-answer flow could not be exercised (gated, ""Not open yet"" for non-owner), so it's unconfirmed whether the answer arrival is announced through it."
,AX-021 Error messages associated with their fields programmatically.,"PARTIAL — the one form checked (waitlist email) has a correctly-associated <label>, but no aria-describedby/aria-invalid wiring was confirmed because a validation-error state could not be reliably triggered and inspected in this pass (tab/session instability)."
,AX-022 Zoom + screen reader together on the reader → still usable.,"PARTIAL — not tested; this is a compound check needing a real screen reader plus zoom simultaneously, which this pass did not have tooling for."
x,"CH-001 Enumerate every write path in the app (highlight, note, study, plan-day, upload, thread, prayer, settings, progress).","PASS — write paths enumerated from repo (no signin needed): highlight/note (api/annotations), study (api/studies), plan-day (api/plans), upload (api/user-corpus), thread (api/chats, api/channels), prayer (api/prayers), settings (account-settings.tsx), progress (api/work/[slug]/progress); matches the"
,CH-002 Refresh during each → no zombie state. *One row per write path.*,PENDING-SIGNIN — refresh-during-write requires an authenticated write action on each path.
,CH-003 Offline during each → honest failure + recovery. *One row per write path.*,PENDING-SIGNIN — offline-during-write requires an authenticated write action on each path.
,CH-004 Session expiry injected before each → work preserved or honestly lost. *One row per path.*,PENDING-SIGNIN — injecting session expiry before a write requires an authenticated session to expire.
,CH-005 Two tabs interleaving writes on the same object → consistent final state.,PENDING-SIGNIN — two-tab interleaving requires an authenticated account to write from both tabs.
,"CH-006 Two devices, same account, same object → last-write behaviour documented.",PENDING-SIGNIN — two-device same-account test requires signing in on two profiles.
